smile;innerBrowRaise;browRaise;browFurrow;noseWrinkle;upperLipRaise;lipCornerDepressor;chinRaise;lipPucker;lipPress;lipSuck;mouthOpen;smirk;eyeClosure;attention;joy;fear;disgust;sadness;anger;surprise;contempt;valence;engagement;time
0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0.067
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.133
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.267
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.333
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.467
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.533
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.667
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.733
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.8
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.867
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.933
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;1.067
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;1.133
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;1.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;1.267
0;0;0;0;0;0;0;0;0;0;0;0;1;0;97;0;0;0;0;0;0;0;0;0;1.333
0;0;0;0;0;0;0;0;0;1;0;0;6;0;97;0;0;0;0;0;0;0;0;0;1.4
0;0;0;0;0;0;0;0;0;9;0;0;22;0;97;0;0;0;0;0;0;2;0;0;1.467
7;0;0;0;0;0;0;0;0;20;1;0;45;0;97;0;0;0;0;0;0;11;7;0;1.533
91;0;0;0;0;0;0;0;0;41;8;0;6;0;97;98;0;0;0;0;0;0;91;99;1.6
99;0;0;0;0;0;0;0;0;42;37;0;0;0;97;99;0;0;0;0;0;0;99;99;1.667
99;0;0;0;0;0;0;1;0;55;80;0;0;0;97;99;0;0;0;0;0;0;99;99;1.733
99;0;0;0;0;0;0;1;0;56;93;0;0;0;97;99;0;0;0;0;0;0;99;99;1.8
99;0;0;0;0;0;0;1;0;53;96;0;0;0;98;99;0;0;0;0;0;0;99;99;1.867
99;0;0;0;0;0;0;2;0;56;98;0;0;0;97;99;0;0;0;0;0;0;99;99;1.933
99;0;0;0;0;0;0;2;0;58;98;0;0;0;97;99;0;0;0;0;0;0;99;99;2
99;0;0;0;0;0;0;2;0;65;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.067
99;0;0;0;0;0;0;3;0;71;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.133
99;0;0;0;0;0;0;4;0;73;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.2
99;0;0;0;0;0;0;4;0;77;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.267
99;0;0;0;0;0;0;4;0;77;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.333
99;0;0;0;0;0;0;4;0;75;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.4
99;0;0;0;0;0;0;4;0;67;98;0;0;0;97;99;0;0;0;0;0;0;99;99;2.467
99;0;0;0;0;0;0;4;0;65;98;0;0;0;98;99;0;0;0;0;0;0;99;99;2.533
99;0;0;0;0;0;0;4;0;60;98;0;0;0;97;99;0;0;0;0;0;0;99;99;2.6
99;0;0;0;0;0;0;4;0;65;97;0;0;0;97;99;0;0;0;0;0;0;99;99;2.667
99;0;0;0;0;0;0;4;0;73;96;0;0;0;97;99;0;0;0;0;0;0;99;99;2.733
99;0;0;0;0;0;0;3;0;59;91;0;0;0;97;99;0;0;0;0;0;0;99;99;2.8
99;0;0;0;0;0;0;1;0;23;75;0;0;0;97;99;0;0;0;0;0;0;99;99;2.867
99;0;0;0;0;0;0;1;0;3;44;0;0;0;96;99;0;0;0;0;0;0;99;99;2.933
93;0;0;0;0;0;0;0;0;0;17;0;3;0;96;98;0;0;0;0;0;0;93;99;3
50;0;0;0;0;0;0;0;0;0;9;0;16;0;96;6;0;0;0;0;0;0;50;52;3.067
2;0;0;0;0;0;0;0;0;0;3;0;9;0;96;0;0;0;0;0;0;0;0;0;3.133
0;0;0;0;0;0;0;0;0;0;1;0;5;0;96;0;0;0;0;0;0;0;0;0;3.2
0;0;0;0;0;0;0;0;0;0;0;0;1;0;95;0;0;0;0;0;0;0;0;0;3.267
0;0;0;0;0;0;0;0;0;0;0;0;1;0;95;0;0;0;0;0;0;0;0;0;3.333
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;3.4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;3.467
0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;3.533
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;3.6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;3.667
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;3.733
0;0;0;0;0;0;1;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;3.8
0;0;0;0;0;0;1;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;3.867
0;0;0;0;0;0;2;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;3.933
0;0;0;0;0;0;2;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;4
0;0;0;0;0;0;2;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;4.067
0;0;0;0;0;0;1;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;4.133
0;0;0;0;0;0;1;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;4.2
0;0;0;0;0;0;1;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;4.267
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;4.333
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;4.4
0;0;0;0;0;0;0;0;0;1;0;0;0;0;97;0;0;0;0;0;0;0;0;0;4.467
0;0;0;0;0;0;0;0;0;11;1;0;1;0;97;0;0;0;0;0;0;0;0;0;4.533
0;0;0;0;0;0;0;0;0;36;6;0;5;0;97;0;0;0;0;0;0;0;0;1;4.6
6;0;0;0;0;0;0;0;0;45;21;0;34;0;97;0;0;0;0;0;0;4;5;1;4.667
75;0;0;0;0;0;0;0;0;40;54;0;21;0;97;80;0;0;0;0;0;0;75;97;4.733
99;0;0;0;0;0;0;2;0;45;87;0;0;0;98;99;0;0;0;0;0;0;99;99;4.8
99;0;0;0;0;0;0;5;0;52;95;0;0;0;97;99;0;0;0;0;0;0;99;99;4.867
99;0;0;0;0;0;0;7;0;65;96;0;0;0;98;99;0;0;0;0;0;0;99;99;4.933
99;0;0;0;0;0;0;7;0;67;98;0;0;0;97;99;0;0;0;0;0;0;99;99;5
99;0;0;0;0;0;0;7;0;68;98;0;0;0;97;99;0;0;0;0;0;0;99;99;5.067
99;0;0;0;0;0;0;6;0;70;97;0;0;0;97;99;0;0;0;0;0;0;99;99;5.133
99;0;0;0;0;0;0;6;0;67;98;0;0;0;97;99;0;0;0;0;0;0;99;99;5.2
99;0;0;0;0;0;0;6;0;69;98;0;0;0;97;99;0;0;0;0;0;0;99;99;5.267
99;0;0;0;0;0;0;5;0;70;98;0;0;0;97;99;0;0;0;0;0;0;99;99;5.333
99;0;0;0;0;0;0;5;0;72;99;0;0;0;97;99;0;0;0;0;0;0;99;99;5.4
99;0;0;0;0;0;0;3;0;60;98;0;0;0;96;99;0;0;0;0;0;0;99;99;5.467
99;0;0;0;0;0;0;1;0;22;94;0;0;0;96;99;0;0;0;0;0;0;99;99;5.533
93;0;0;0;0;0;0;0;0;5;81;0;4;0;96;98;0;0;0;0;0;0;93;99;5.6
59;0;0;0;0;0;0;0;0;0;59;0;16;0;95;23;0;0;0;0;0;0;59;79;5.667
7;0;0;0;0;0;0;0;0;0;27;0;15;0;96;0;0;0;0;0;0;0;7;0;5.733
0;0;0;0;0;0;0;0;0;0;10;0;3;0;96;0;0;0;0;0;0;0;0;0;5.8
0;0;0;0;0;0;0;0;0;0;3;0;1;0;95;0;0;0;0;0;0;0;0;0;5.867
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;5.933
0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.067
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.133
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.267
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.333
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.467
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.533
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;6.667
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;6.733
0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;6.8
0;0;0;0;0;0;0;0;0;1;0;0;0;0;98;0;0;0;0;0;0;0;0;0;6.867
0;0;0;0;0;0;0;0;0;5;0;0;0;0;98;0;0;0;0;0;0;0;0;0;6.933
0;0;0;0;0;0;0;0;0;18;0;0;0;0;98;0;0;0;0;0;0;0;0;0;7
0;0;0;0;0;0;0;0;0;37;0;0;0;0;98;0;0;0;0;0;0;0;0;1;7.067
0;0;0;0;0;0;0;0;0;47;0;0;0;0;98;0;0;0;0;0;0;0;0;2;7.133
0;0;0;0;0;0;0;0;0;53;0;0;0;0;98;0;0;0;0;0;0;0;0;3;7.2
0;0;1;0;0;0;0;0;0;66;0;0;1;0;98;0;0;0;0;0;0;0;0;9;7.267
0;0;1;0;0;0;0;0;0;70;1;0;4;0;98;0;0;0;0;0;0;0;0;11;7.333
0;0;1;0;0;0;0;0;0;79;2;0;14;0;98;0;0;0;0;0;0;0;0;21;7.4
2;0;1;0;0;0;0;0;0;89;7;0;41;0;97;0;0;0;0;0;0;11;0;34;7.467
32;0;1;0;0;0;0;1;0;91;16;0;55;0;97;0;0;0;0;0;0;5;32;37;7.533
88;0;1;0;0;0;0;1;0;93;23;0;10;0;97;97;0;0;0;0;0;0;88;99;7.6
99;0;1;0;0;0;0;2;1;93;43;0;0;0;98;99;0;0;0;0;0;0;99;99;7.667
99;0;1;0;0;0;0;5;1;91;61;0;0;0;98;99;0;0;0;0;0;0;99;99;7.733
